Date,Open,High,Low,Close,Adj Close,Volume
2016-01-15,114.059998,114.169998,111.889999,112.599998,98.853683,637000
2016-01-19,116.010002,116.099998,113.870003,115.019997,100.978256,485500
2016-01-20,112.300003,112.430000,108.940002,111.510002,97.896767,1000200
2016-01-21,110.360001,112.050003,109.470001,111.099998,97.536797,285300
2016-01-22,115.110001,116.040001,114.820000,115.949997,101.794716,595500
2016-01-25,114.370003,114.589996,113.209999,113.410004,99.564804,248600
2016-01-26,113.300003,114.379997,113.180000,114.349998,100.390053,267500
2016-01-27,116.000000,117.089996,114.800003,115.320000,101.241631,320900
2016-01-28,116.680000,116.680000,114.930000,116.120003,101.943977,313700
2016-01-29,118.750000,120.029999,118.010002,120.029999,105.376625,746000
2016-02-01,120.000000,120.769997,119.160004,120.400002,105.701454,416700
2016-02-02,120.150002,120.150002,118.500000,119.000000,104.472366,353400
2016-02-03,116.480003,116.750000,113.389999,114.989998,100.951920,622600
2016-02-04,114.989998,114.989998,112.730003,114.290001,100.337372,560900
2016-02-05,112.239998,112.519997,109.000000,110.389999,96.913490,851100
2016-02-08,109.739998,109.809998,107.970001,109.129997,95.807304,687700
2016-02-09,105.989998,107.570000,105.580002,106.839996,93.796867,498800
2016-02-10,108.620003,109.470001,106.639999,106.769997,93.735420,414100
2016-02-11,105.290001,105.779999,104.169998,105.080002,92.251747,545900
2016-02-12,103.169998,105.370003,102.540001,105.260002,92.409760,668300
2016-02-16,108.050003,108.589996,107.449997,108.209999,94.999619,476700
2016-02-17,107.690002,108.449997,107.599998,108.129997,94.929382,696500
2016-02-18,108.580002,108.949997,107.220001,107.449997,94.332397,224700
2016-02-19,105.680000,105.849998,104.800003,105.309998,92.453651,723200
2016-02-22,106.070000,106.900002,106.059998,106.690002,93.665176,297400
2016-02-23,106.550003,106.669998,105.529999,105.620003,92.725815,161700
2016-02-24,105.070000,105.220001,102.849998,104.589996,91.821564,628600
2016-02-25,104.589996,105.589996,104.459999,105.570000,92.681915,849000
2016-02-26,105.000000,106.080002,104.629997,105.139999,92.304405,492600
2016-02-29,105.099998,105.279999,104.099998,104.099998,91.391373,423600
2016-03-01,105.300003,106.650002,104.889999,106.410004,93.419357,344700
2016-03-02,106.849998,107.300003,106.519997,106.989998,93.928558,275700
2016-03-03,107.690002,108.570000,107.639999,108.570000,95.315666,289300
2016-03-04,109.559998,110.290001,109.000000,109.550003,96.176033,204700
2016-03-07,107.230003,108.550003,107.070000,107.910004,94.736244,745300
2016-03-08,106.519997,106.699997,105.620003,105.820000,92.901390,459500
2016-03-09,106.860001,106.910004,105.800003,106.250000,93.278900,201900
2016-03-10,108.760002,108.980003,106.160004,107.080002,94.007576,644900
2016-03-11,108.660004,109.279999,108.540001,109.260002,95.921448,216700
2016-03-14,109.250000,109.489998,108.809998,108.949997,95.649277,251500
2016-03-15,107.410004,107.419998,106.449997,107.220001,94.130486,404400
2016-03-16,106.470001,107.769997,106.099998,107.540001,94.411415,343000
2016-03-17,106.889999,108.480003,106.440002,107.930000,94.753799,354700
2016-03-18,106.279999,106.930000,105.800003,106.599998,93.586174,615500
2016-03-21,106.410004,107.430000,106.410004,107.139999,94.060242,442100
2016-03-22,108.110001,109.320000,107.760002,108.599998,95.342010,318600
2016-03-23,108.480003,108.989998,108.099998,108.099998,94.903061,291100
